middleschool.x,variable.x.x,est,se,pct,pctse
BHLyons,gender0,2667.289381,227.26143033916333,0.33387304073706275,0.028401653900523762
Clarke,gender0,4836.2774,421.12973919292324,0.3345892215945206,0.029112730974716332
Coile,gender0,2073.0505886,166.46669241425946,0.350772284863895,0.028161459156800024
Hilsman,gender0,4548.7427450000005,344.9769695814115,0.34190731289639126,0.02585524569719281
BHLyons,gender1,5321.643703,229.26123063529772,0.6661269592629373,0.028401653900523762
Clarke,gender1,9618.095568,423.1193880273734,0.6654107784054795,0.029112730974716325
Coile,gender1,3836.9105972,166.6170290432417,0.6492277151361051,0.028161459156800024
Hilsman,gender1,8755.2802268,347.65262921391167,0.6580926871036087,0.02585524569719281
BHLyons,indian0,7793.024808,67.30432515983188,0.993314989857958,0.0038103160264553572
Clarke,indian0,14342.220753200001,92.05761874414179,0.9953922758996645,0.003509222941309875
Coile,indian0,5757.8262202000005,43.54275978425149,0.9869939185647449,0.0057120958684528066
Hilsman,indian0,13003.7485706,128.87894541528456,0.9940119399228963,0.002987564887087535
BHLyons,indian1,52.447058999999996,29.917671943281004,0.006685010142041976,0.003810316026455358
Clarke,indian1,66.3909072,50.567043405036515,0.004607724100335488,0.003509222941309875
Coile,indian1,75.8735746,33.33091925433266,0.01300608143525514,0.0057120958684528066
Hilsman,indian1,78.3363102,39.0768267914009,0.005988060077103669,0.002987564887087535
BHLyons,black0,6208.171561,187.27939380882472,0.7913063313773526,0.023404300305204274
Clarke,black0,12674.3510244,238.7128618184649,0.8796372144051626,0.015835737692430567
Coile,black0,3835.8142378000002,148.7107271397023,0.6575268479223322,0.025261054125856348
Hilsman,black0,9945.092277,295.8136710138483,0.7602069828790038,0.02159521370271244
BHLyons,black1,1637.3003059999999,184.84045612847814,0.2086936686226473,0.023404300305204274
Clarke,black1,1734.260636,228.2865327635157,0.12036278559483746,0.015835737692430567
Coile,black1,1997.885557,147.6353312224562,0.3424731520776679,0.025261054125856348
Hilsman,black1,3136.9926038000003,284.6095841345757,0.23979301712099618,0.02159521370271244
BHLyons,api0,7845.471867,62.249056562321236,1,0
Clarke,api0,14408.6116604,77.67530363335466,1,0
Coile,api0,5793.9056788,40.22758064020474,0.9931785800778657,0.00478746060575941
Hilsman,api0,13082.084880800001,122.82100723100716,1,0
BHLyons,api1,0,0,0,0
Clarke,api1,0,0,0,0
Coile,api1,39.794116,27.927909608385487,0.006821419922134387,0.00478746060575941
Hilsman,api1,0,0,0,0
BHLyons,asian0,7797.770001,70.64843528416819,0.9939198219293034,0.004449085199820723
Clarke,asian0,14241.3155564,113.40561962894994,0.9883891586543492,0.005854436683355478
Coile,asian0,5772.1526428,48.7800888467427,0.9894497224463177,0.006759172442582787
Hilsman,asian0,12703.6887718,171.14441039277642,0.9710752443171076,0.009380956704133692
BHLyons,asian1,47.701865999999995,34.912055688168465,0.006080178070696534,0.004449085199820722
Clarke,asian1,167.296104,84.36949757015411,0.011610841345650902,0.005854436683355478
Coile,asian1,61.547152000000004,39.43162529463861,0.01055027755368239,0.006759172442582786
Hilsman,asian1,378.396109,122.77331765226849,0.028924755682892357,0.009380956704133692
BHLyons,white0,1908.98651,194.5500108339646,0.24332335165583482,0.024598279259747648
Clarke,white0,2175.5507390000002,255.04114944319883,0.15098961581282594,0.017685720481627844
Coile,white0,2396.1686114,153.40670606689937,0.4107459580857896,0.02619947727076937
Hilsman,white0,3766.2604441000003,302.8087543906331,0.2878945121069788,0.022926338451461404
BHLyons,white1,5936.485357,195.6767864007936,0.7566766483441651,0.024598279259747648
Clarke,white1,12233.0609214,263.5227074770019,0.8490103841871741,0.017685720481627844
