middleschool,variable.x,est,se
BHLyons,gender0,2667.289381,227.26143033916333
Clarke,gender0,4836.2774,421.12973919292324
Coile,gender0,2073.0505886,166.46669241425946
Hilsman,gender0,4548.7427450000005,344.9769695814115
BHLyons,gender1,5321.643703,229.26123063529772
Clarke,gender1,9618.095568,423.1193880273734
Coile,gender1,3836.9105972,166.6170290432417
Hilsman,gender1,8755.2802268,347.65262921391167
BHLyons,gender2,30.219513,30.219513
Clarke,gender2,0,0
Coile,gender2,10.140351,10.140351
Hilsman,gender2,43.18919,43.189189999999996
BHLyons,gender3,0,0
Clarke,gender3,0,0
Coile,gender3,6.896551599999999,4.83363194092884
Hilsman,gender3,0,0
BHLyons,indian0,7793.024808,67.30432515983188
Clarke,indian0,14342.220753200001,92.05761874414179
Coile,indian0,5757.8262202000005,43.54275978425149
Hilsman,indian0,13003.7485706,128.87894541528456
BHLyons,indian1,52.447058999999996,29.917671943281004
Clarke,indian1,66.3909072,50.567043405036515
Coile,indian1,75.8735746,33.33091925433266
Hilsman,indian1,78.3363102,39.0768267914009
BHLyons,black0,6208.171561,187.27939380882472
Clarke,black0,12674.3510244,238.7128618184649
Coile,black0,3835.8142378000002,148.7107271397023
Hilsman,black0,9945.092277,295.8136710138483
BHLyons,black1,1637.3003059999999,184.84045612847814
Clarke,black1,1734.260636,228.2865327635157
Coile,black1,1997.885557,147.6353312224562
Hilsman,black1,3136.9926038000003,284.6095841345757
BHLyons,api0,7845.471867,62.249056562321236
Clarke,api0,14408.6116604,77.67530363335466
Coile,api0,5793.9056788,40.22758064020474
Hilsman,api0,13082.084880800001,122.82100723100716
BHLyons,api1,0,0
Clarke,api1,0,0
Coile,api1,39.794116,27.927909608385487
Hilsman,api1,0,0
BHLyons,asian0,7797.770001,70.64843528416819
Clarke,asian0,14241.3155564,113.40561962894994
Coile,asian0,5772.1526428,48.7800888467427
Hilsman,asian0,12703.6887718,171.14441039277642
BHLyons,asian1,47.701865999999995,34.912055688168465
Clarke,asian1,167.296104,84.36949757015411
Coile,asian1,61.547152000000004,39.43162529463861
Hilsman,asian1,378.396109,122.77331765226849
BHLyons,white0,1908.98651,194.5500108339646
Clarke,white0,2175.5507390000002,255.04114944319883
Coile,white0,2396.1686114,153.40670606689937
Hilsman,white0,3766.2604441000003,302.8087543906331
BHLyons,white1,5936.485357,195.6767864007936
Clarke,white1,12233.0609214,263.5227074770019
Coile,white1,3437.5311834,153.6390880212124
Hilsman,white1,9315.8244367,310.4776963347834
BHLyons,other_race0,7544.865963,104.78501910690872
Clarke,other_race0,14127.1615478,126.98382762360771
Coile,other_race0,5439.8047302,75.32510628474924
Hilsman,other_race0,12603.7160915,179.7676612212581
BHLyons,other_race1,300.605904,87.02203335539288
Clarke,other_race1,281.4501126,101.01869545846236
Coile,other_race1,393.8950646,71.26260140866518
Hilsman,other_race1,478.3687893,136.42375502354392
BHLyons,latinx0,7271.839008,133.62588117502685
Clarke,latinx0,13835.9879122,179.6125006917722
Coile,latinx0,5258.6951768,91.50605536592587
Hilsman,latinx0,12974.3103874,129.56936295115239
BHLyons,latinx1,682.286383,125.55668747373895
Clarke,latinx1,425.7694738,143.76148533899232
Coile,latinx1,570.0647306,83.88289841128484
Hilsman,latinx1,354.07465840000003,114.16917254573849
BHLyons,maritalstat0,1981.285514,204.7414104760309
Clarke,maritalstat0,3592.6570758000003,368.6867755423773
Coile,maritalstat0,2189.9090908,164.8909371728659
Hilsman,maritalstat0,4532.3062925,337.8650864213776
BHLyons,maritalstat1,4377.883309,237.54986716404034
Clarke,maritalstat1,8374.762343600001,424.8589460341528
Coile,maritalstat1,2802.9197014,170.05514004774113
Hilsman,maritalstat1,6199.4224821,357.18733522243184
BHLyons,maritalstat2,30.219513,30.219513000000003
Clarke,maritalstat2,112.1100028,87.40940854065504
Coile,maritalstat2,137.7921972,50.642677216843154
Hilsman,maritalstat2,169.7590273,78.7487619559
BHLyons,maritalstat3,963.65567,156.25089674923854
Clarke,maritalstat3,1772.1040952,276.48234737784935
Coile,maritalstat3,650.6985928,114.6139523446927
Hilsman,maritalstat3,1505.8409393,230.361208748407
BHLyons,maritalstat4,584.758812,124.04014915203645
Clarke,maritalstat4,566.8006506,140.20163150641616
Coile,maritalstat4,125.7814482,46.590850744377796
Hilsman,maritalstat4,884.8778303,176.96565388565597
BHLyons,dating0,1245.475062,170.82307589518635
Clarke,dating0,2313.4385604,294.7952600253064
Coile,dating0,1118.8994356,133.86745938235305
Hilsman,dating0,2285.4338583,263.3708490629741
BHLyons,dating1,758.6664519999999,137.37764406458797
Clarke,dating1,1562.017659,269.1774437319712
Coile,dating1,1100.6900136,139.24225473993852
Hilsman,dating1,2331.3651363,278.4323767520496
BHLyons,educ1,293.921383,74.81662367947824
Clarke,educ1,312.10314239999997,77.97575644245252
Coile,educ1,283.0408588,65.81239367024733
Hilsman,educ1,373.7551859,108.79663198182992
BHLyons,educ2,1933.356083,204.3240507179722
Clarke,educ2,2493.8585522,313.52323383364643
Coile,educ2,2443.7499592,169.97011524293043
Hilsman,educ2,2894.2148079,286.9563916605857
BHLyons,educ3,1226.427039,170.4078626872529
Clarke,educ3,920.4048204000001,173.90574217666511
Coile,educ3,931.7903096,119.08129801279797
Hilsman,educ3,1937.873442,253.9311813887487
BHLyons,educ4,2023.7319479999999,211.29582694072084
Clarke,educ4,3976.1892510000002,401.5776720570841
Coile,educ4,1026.8434730000001,138.66137731373848
Hilsman,educ4,3750.2857314000003,328.31652882158835
BHLyons,educ5,2475.534159,223.52204649615456
Clarke,educ5,6688.234742000001,440.2718471896099
Coile,educ5,1138.1252138,140.0349343118824
Hilsman,educ5,4347.4288585,335.91592522411486
