middleschool,variable.x,est,se,pct,pctse
BHL,gender0,2667.289381,227.2614303,0.332614868,0.02831487
Clarke,gender0,4836.2774,421.1297392,0.334589222,0.029112731
Coile,gender0,2073.050589,166.4666924,0.349764005,0.028086173
Hilsman,gender0,4548.742745,344.9769696,0.340800962,0.025788462
BHL,gender1,5321.643703,229.2612306,0.663616715,0.028421086
Clarke,gender1,9618.095568,423.119388,0.665410778,0.029112731
Coile,gender1,3836.910597,166.617029,0.647361538,0.028111538
Hilsman,gender1,8755.280227,347.6526292,0.655963217,0.025872562
BHL,gender2,30.219513,30.219513,0.003768417,0.003768278
Clarke,gender2,0,0,0,0
Coile,gender2,10.140351,10.140351,0.001710875,0.001710875
Hilsman,gender2,43.18919,43.18919,0.003235821,0.003235714
BHL,gender3,0,0,0,0
Clarke,gender3,0,0,0,0
Coile,gender3,6.8965516,4.833631941,0.001163583,8.16E-04
Hilsman,gender3,0,0,0,0
BHL,indian0,7793.024808,67.30432516,0.99331499,0.003810316
Clarke,indian0,14342.22075,92.05761874,0.995392276,0.003509223
Coile,indian0,5757.82622,43.54275978,0.986993919,0.005712096
Hilsman,indian0,13003.74857,128.8789454,0.99401194,0.002987565
BHL,indian1,52.447059,29.91767194,0.00668501,0.003810316
Clarke,indian1,66.3909072,50.56704341,0.004607724,0.003509223
Coile,indian1,75.8735746,33.33091925,0.013006081,0.005712096
Hilsman,indian1,78.3363102,39.07682679,0.00598806,0.002987565
BHL,black0,6208.171561,187.2793938,0.791306331,0.0234043
Clarke,black0,12674.35102,238.7128618,0.879637214,0.015835738
Coile,black0,3835.814238,148.7107271,0.657526848,0.025261054
Hilsman,black0,9945.092277,295.813671,0.760206983,0.021595214
BHL,black1,1637.300306,184.8404561,0.208693669,0.0234043
Clarke,black1,1734.260636,228.2865328,0.120362786,0.015835738
Coile,black1,1997.885557,147.6353312,0.342473152,0.025261054
Hilsman,black1,3136.992604,284.6095841,0.239793017,0.021595214
BHL,api0,7845.471867,62.24905656,1,0
Clarke,api0,14408.61166,77.67530363,1,0
Coile,api0,5793.905679,40.22758064,0.99317858,0.004787461
Hilsman,api0,13082.08488,122.8210072,1,0
BHL,api1,0,0,0,0
Clarke,api1,0,0,0,0
Coile,api1,39.794116,27.92790961,0.00682142,0.004787461
Hilsman,api1,0,0,0,0
BHL,asian0,7797.770001,70.64843528,0.993919822,0.004449085
Clarke,asian0,14241.31556,113.4056196,0.988389159,0.005854437
Coile,asian0,5772.152643,48.78008885,0.989449722,0.006759172
Hilsman,asian0,12703.68877,171.1444104,0.971075244,0.009380957
BHL,asian1,47.701866,34.91205569,0.006080178,0.004449085
Clarke,asian1,167.296104,84.36949757,0.011610841,0.005854437
Coile,asian1,61.547152,39.43162529,0.010550278,0.006759172
Hilsman,asian1,378.396109,122.7733177,0.028924756,0.009380957
BHL,white0,1908.98651,194.5500108,0.243323352,0.024598279
Clarke,white0,2175.550739,255.0411494,0.150989616,0.01768572
Coile,white0,2396.168611,153.4067061,0.410745958,0.026199477
Hilsman,white0,3766.260444,302.8087544,0.287894512,0.022926338
BHL,white1,5936.485357,195.6767864,0.756676648,0.024598279
Clarke,white1,12233.06092,263.5227075,0.849010384,0.01768572
Coile,white1,3437.531183,153.639088,0.589254042,0.026199477
Hilsman,white1,9315.824437,310.4776963,0.712105488,0.022926338
BHL,other_race0,7544.865963,104.7850191,0.961684152,0.011083041
Clarke,other_race0,14127.16155,126.9838276,0.980466535,0.007011025
Coile,other_race0,5439.80473,75.32510628,0.932479374,0.01220055
Hilsman,other_race0,12603.71609,179.7676612,0.963433291,0.010419798
BHL,other_race1,300.605904,87.02203336,0.038315848,0.011083041
Clarke,other_race1,281.4501126,101.0186955,0.019533465,0.007011025
Coile,other_race1,393.8950646,71.26260141,0.067520626,0.01220055
Hilsman,other_race1,478.3687893,136.423755,0.036566709,0.010419798
BHL,latinx0,7271.839008,133.6258812,0.914222325,0.01576838
Clarke,latinx0,13835.98791,179.6125007,0.970146072,0.010075697
Coile,latinx0,5258.695177,91.50605537,0.902197939,0.014381741
Hilsman,latinx0,12974.31039,129.569363,0.973434542,0.008563009
BHL,latinx1,682.286383,125.5566875,0.085777675,0.01576838
Clarke,latinx1,425.7694738,143.7614853,0.029853928,0.010075697
Coile,latinx1,570.0647306,83.88289841,0.097802061,0.014381741
Hilsman,latinx1,354.0746584,114.1691725,0.026565458,0.008563009
BHL,maritalstat0,1981.285514,204.7414105,0.249601251,0.025718365
Clarke,maritalstat0,3592.657076,368.6867755,0.249171098,0.025554057
