middleschool,variable.x,pct,pctse
BHL,gender0,0.332614868,0.02831487
Clarke,gender0,0.334589222,0.029112731
Coile,gender0,0.349764005,0.028086173
Hilsman,gender0,0.340800962,0.025788462
BHL,gender1,0.663616715,0.028421086
Clarke,gender1,0.665410778,0.029112731
Coile,gender1,0.647361538,0.028111538
Hilsman,gender1,0.655963217,0.025872562
BHL,gender2,0.003768417,0.003768278
Clarke,gender2,0,0
Coile,gender2,0.001710875,0.001710875
Hilsman,gender2,0.003235821,0.003235714
BHL,gender3,0,0
Clarke,gender3,0,0
Coile,gender3,0.001163583,8.16E-04
Hilsman,gender3,0,0
BHL,indian0,0.99331499,0.003810316
Clarke,indian0,0.995392276,0.003509223
Coile,indian0,0.986993919,0.005712096
Hilsman,indian0,0.99401194,0.002987565
BHL,indian1,0.00668501,0.003810316
Clarke,indian1,0.004607724,0.003509223
Coile,indian1,0.013006081,0.005712096
Hilsman,indian1,0.00598806,0.002987565
BHL,black0,0.791306331,0.0234043
Clarke,black0,0.879637214,0.015835738
Coile,black0,0.657526848,0.025261054
Hilsman,black0,0.760206983,0.021595214
BHL,black1,0.208693669,0.0234043
Clarke,black1,0.120362786,0.015835738
Coile,black1,0.342473152,0.025261054
Hilsman,black1,0.239793017,0.021595214
BHL,api0,1,0
Clarke,api0,1,0
Coile,api0,0.99317858,0.004787461
Hilsman,api0,1,0
BHL,api1,0,0
Clarke,api1,0,0
Coile,api1,0.00682142,0.004787461
Hilsman,api1,0,0
BHL,asian0,0.993919822,0.004449085
Clarke,asian0,0.988389159,0.005854437
Coile,asian0,0.989449722,0.006759172
Hilsman,asian0,0.971075244,0.009380957
BHL,asian1,0.006080178,0.004449085
Clarke,asian1,0.011610841,0.005854437
Coile,asian1,0.010550278,0.006759172
Hilsman,asian1,0.028924756,0.009380957
BHL,white0,0.243323352,0.024598279
Clarke,white0,0.150989616,0.01768572
Coile,white0,0.410745958,0.026199477
Hilsman,white0,0.287894512,0.022926338
BHL,white1,0.756676648,0.024598279
Clarke,white1,0.849010384,0.01768572
Coile,white1,0.589254042,0.026199477
Hilsman,white1,0.712105488,0.022926338
BHL,other_race0,0.961684152,0.011083041
Clarke,other_race0,0.980466535,0.007011025
Coile,other_race0,0.932479374,0.01220055
Hilsman,other_race0,0.963433291,0.010419798
BHL,other_race1,0.038315848,0.011083041
Clarke,other_race1,0.019533465,0.007011025
Coile,other_race1,0.067520626,0.01220055
Hilsman,other_race1,0.036566709,0.010419798
BHL,latinx0,0.914222325,0.01576838
Clarke,latinx0,0.970146072,0.010075697
Coile,latinx0,0.902197939,0.014381741
Hilsman,latinx0,0.973434542,0.008563009
BHL,latinx1,0.085777675,0.01576838
Clarke,latinx1,0.029853928,0.010075697
Coile,latinx1,0.097802061,0.014381741
Hilsman,latinx1,0.026565458,0.008563009
BHL,maritalstat0,0.249601251,0.025718365
Clarke,maritalstat0,0.249171098,0.025554057
Coile,maritalstat0,0.370724841,0.027901466
Hilsman,maritalstat0,0.340974711,0.025311984
BHL,maritalstat1,0.551523313,0.029739272
Clarke,maritalstat1,0.580837159,0.029361288
Coile,maritalstat1,0.474500044,0.028734885
Hilsman,maritalstat1,0.466395286,0.026774272
BHL,maritalstat2,0.003807038,0.0038066
Clarke,maritalstat2,0.007775463,0.006062436
Coile,maritalstat2,0.023326535,0.008572625
Hilsman,maritalstat2,0.01277132,0.005923645
BHL,maritalstat3,0.121400807,0.019648994
Clarke,maritalstat3,0.122905447,0.019163228
Coile,maritalstat3,0.110155318,0.019397636
Hilsman,maritalstat3,0.113287507,0.017318962
BHL,maritalstat4,0.073667591,0.015617
Clarke,maritalstat4,0.039310833,0.009719336
Coile,maritalstat4,0.021293262,0.007886216
Hilsman,maritalstat4,0.066571177,0.013308096
BHL,dating0,0.621450658,0.056699365
Clarke,dating0,0.596946122,0.054979227
